Título,Imagem,Subtítulo,Conteúdo,Autor,Data
BEATLES NO INHOTIM,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/06/oop_19_Inhotim_Cover_Facebook-1.png,ORQUESTRA + ARTES PLÁSTICAS, ,OOP,11/6/2019
SUÍTE MASAI EM BH,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/06/oop_19_Masai_Cover_Facebook_BH-1.png,LANÇAMENTO DE CD," 
 
",OOP,11/6/2019
SUÍTE MASAI EM OURO PRETO,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/06/oop_19_Masai_Cover_Facebook_OP.png,LANÇAMENTO DE CD, ,OOP,11/6/2019
SUÍTE MASAI,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/05/oop_19_suite_masai_Disco_003_Facebook_Cover.png,CD COM FLÁVIO RENEGADO,"Flávio Renegado e Orquestra Ouro Preto apresentam Suíte Masai, álbum que marca o encontro entre o rap e a música erudita.
Flávio Renegado e Orquestra Ouro Preto brindam fãs e recém-chegados com conexões preciosas entre o erudito e o popular, música negra e europeia, sonoridades africanas, brasileiras e caribenhas. Em uma jornada musical que parte da periferia de Belo Horizonte, desbrava as ancestralidades do Quênia e regressa com orquestração impecável, assinada por Marcelo Ramos e regida por Rodrigo Toffolo.
“Os guerreiros mais fortes da tribo não são escolhidos de maneira violenta, mas sim entre aqueles que saltam mais alto.” Esta foi apenas uma das descobertas de Flávio Renegado durante suas pesquisas sobre a nação tribal Masai, que ocupa boa parte do território do Quênia. E estas buscas sobre ancestralidades, vivências e aprendizados do continente-mãe que inspiraram Flávio Renegado a se unir à Orquestra Ouro Preto na produção de Suíte Masai, o quarto álbum do artista mineiro.
Assim como os lideres Masai, o salto de Flávio Renegado e Orquestra Ouro Preto não foi pequeno. A gravação de Suíte Massai reuniu 35 músicos, entre componentes da banda do rapper e membros da orquestra. Além de dezenas de profissionais envolvidos na produção do espetáculo realizado em 04 de agosto de 2018, na comunidade na comunidade do Alto Vera Cruz, onde Renegado nasceu e hoje mantém seu projeto social Arebeldia, em Belo Horizonte.
Acostumado a navegar por diferentes sonoridades, o inquieto Flávio Renegado enxerga com naturalidade a parceria inédita com uma orquestra. “A troca das batidas eletrônicas por uma orquestra foi um caminho natural para minha música. Do rap ao rock, passando pelo eletrônico, já toco há muito tempo com uma banda. E agora vejo a conexão com a música erudita como um ponto alto de uma trajetória. Especialmente com uma orquestra como a Ouro Preto. Foi muito especial encontrar um grupo de músicos eruditos dispostos a colaborar com a musica popular de maneira aberta, generosa e verdadeira”.
Antigos sucessos de Renegado e homenagens a ícones da música brasileira ganham arranjos inéditos
A harmonia destes encontros fica muito evidente já na segunda faixa, “Conexão Alto Vera Cruz Havana” (Flávio Renegado e Gil Amâncio). A canção, uma espécie de abre alas após abertura instrumental, nos faz pensar que os versos potentes de Flávio e a orquestração da Ouro Preto passaram tempo demais sem se conhecer.
Para nossa sorte, este “tempo perdido” é recompensado com outras 13 canções que escancaram uma alquimia preciosa entre a poesia urbana de Renegado e a batuta de Rodrigo Toffolo. O maestro reforça o caráter democrático que a união do rap com música erudita pode representar. “A Orquestra Ouro Preto foi criada tendo como referência dois conceitos principais: excelência e versatilidade. A excelência é pautada na formação da Orquestra e também na difusão de um repertório tradicional da música de concerto universal, incluindo aí compositores como Bach, Beethoven, Villa-Lobos, e outros grandes nomes da música dita clássica. Por outro lado, a Orquestra também trabalha o conceito de versatilidade e diversidade, buscando aproximar a música erudita à música popular. Por isso, a Suíte Masai se encaixa perfeitamente dentro de nossa proposta. É uma alegria enorme ser co-responsável por uma obra que transcende fronteiras, não só entre continentes e idiomas, mas entre culturas”
O álbum avança pela regravação de “Minha Tribo é o Mundo”, cujo título não deixa dúvidas sobre a intenção de Renegado em navegar por sonoridades, batidas, saudações, gritos de guerra, bailes e celebrações daqui e de além-mar. Em seguida, é a vez de homenagear um dos mestres da música negra brasileira. “Maracatu, Nação do Amor”, de Moacir Santos e Nei Lopes, ganha versão inédita cheia de lirismo e suingue.
“Do Oiapoque a Nova York”, “Coisa é Séria”, “Sei Quem Tá Comigo” e “Vera” faixas do álbum de estreia de Renegado, lançado em 2008, reforçam a contemporaneidade da obra do artista. Após mais de 10 anos, seguem atuais como nunca, agora com arranjos ainda mais impecáveis.
Flávio e Orquestra Ouro Preto prestam reverência os fãs do rapper com os sucessos “Sai Fora”, lançada em 2011, e “Black Star”, “Rotina” e “Sobre Peixes e Você”, que ganharam o país com o lançamento do álbum “Outono Selvagem”, em 2016.
Em meio aos hits de Renegado, conduzidos pelo cantor, a Orquestra Ouro Preto e com auxílio luxuoso do público, espaço reservado para mais uma homenagem, com “Românticos” de Vander Lee.
O gran finale, que emocionou músicos e plateia, foi a interpretação do clássico atemporal da MPB “Para Lennon e McCartney”, assinada pelos conterrâneos do Clube da Esquina, Márcio Borges, Lô Borges e Fernando Brant.
“Hoje me vejo mais maduro, tanto na minha música quanto na vida. Gravar este álbum foi trabalhoso, especial, mas não difícil. Sinto que botamos pra fora algo que estava para ser dito há bastante tempo”, aponta Flávio.
“Clube da Esquina, Moacir Santos e Vander Lee fazem parte não só da minha formação musical e profissional, mas também afetiva e de identificação identitária. Com o Suíte Masai, encontrei no Maestro Rodrigo Toffolo mais do que um amigo, um grande parceiro musical. Brincamos que, a partir de agora, ele é o meu DJ, temos vontade de ir até o Quênia apresentar a música que eles nos inspiraram a criar. E agradecer a união entre #omanoeomaestro também em território africano”, conclui Flávio Renegado.
 
",admin,31/5/2019
NAB OURO PRETO,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/06/oop_19_NAB_VALE_Facebook_Cover-1.png,INSCRIÇÕES GRATUITAS,"A Orquestra Ouro Preto, através do Núcleo de Apoio às Bandas dá início, neste final de semana, nos dias 08 e 09 de junho, em Rodrigo Silva, distrito de Ouro Preto, à terceira edição do Curso de Fomento às Bandas e Corporações Musicais. Atendendo Ouro Preto, Mariana e região, o curso é uma iniciativa pioneira no país, voltada às tradicionais bandas civis e associações musicais do estado. Dividido em seis módulos, ele é inteiramente gratuito.
Clique aqui e faça sua inscrição.
O Curso de Fomento às Bandas e Corporações Musicais mantido é pela Vale, através da Lei Federal de Incentivo à Cultura do Governo Federal.
Núcleo de Apoio a Bandas
O Núcleo foi criado pela Orquestra Ouro Preto com o objetivo de fomentar e capacitar regentes, professores e instrumentistas das tradicionais associações musicais do Brasil. Consultorias, oficinas, palestras, atividades práticas e teóricas, visando preservar e fomentar os ofícios da música. Desde 2016 prezando pela troca de experiências e o diálogo entre maestros, músicos e lideranças de associações musicais, o Núcleo já atendeu cerca de 20 bandas da região dos Inconfidentes e de outros estados.
Neste ano, as atividades do curso foram estendidas, com trabalhos divididos no Grêmio Literário Tristão de Ataíde, em Ouro Preto e na sede Sociedade Musical de Santa Cecília, localizada no distrito de Rodrigo Silva. A ação será ministrada por profissionais de renome, divididas em 6 módulos, abordando diferentes metodologias de estudo para corporações musicais, assim como harmonia e arranjos, técnicas de regência, de ensaio coletivo e de performance instrumental, com profissionais de renome nacional, como João Paulo Moreira, Rodrigo Vitta, Samuel Pompeo, Daniel Alcântra e Magno Bissoli.
Em novembro, as associações musicais atendidas participam da Mostra Final do Curso, com uma grande apresentação no dia 16, em Ouro Preto.
PRÊMIO ORQUESTRA OURO PRETO
Pelo segundo ano consecutivo, o Núcleo de Apoio às Bandas realiza o Prêmio Orquestra Ouro Preto. Durante todo o curso, os professores avaliarão jovens músicos/musicistas que se destacarem nos seis módulos. Três desses músicos serão escolhidos para uma residência artística de uma semana, com tudo pago, em São Paulo, visitando museus, teatros, orquestras e universidades, abrindo oportunidade para práticas com músicos de referência nacional.
 
Cronograma
JUNHO
Módulo I
Dia 8 e 9 – Ouro Preto (distrito de Rodrigo Silva)
–  Sábado- 15:00 – 18:00
– Domingo 09:00 – 12:00
 
JULHO
Módulo II
Dia 6 e 7 –  Ouro Preto (distrito de Rodrigo Silva)
– Sábado- 15:00 – 18:00
– Domingo 09:00 – 12:00
 
AGOSTO
Módulo III
Dia 3 e 4 – Ouro Preto (distrito de Rodrigo Silva)
– Sábado- 15:00 – 18:00
– Domingo 09:00 – 12:00
 
OUTUBRO
Módulo IV
Dia 5- Workshop- Ouro Preto (GLTA)
Horário: 15:00 – 18:00
Dia 6- Ouro Preto (GLTA)
Horário: 09:00 -12:00
 
NOVEMBRO
Dia 16 – Mostra Final (Encontro de Bandas na Praça Tiradentes)
Horário: 10:00 – 12:00
 
Módulo V
Dia 23 – Workshop- Ouro Preto (distrito de Rodrigo Silva)
Horário: 15:00 – 18:00
Dia 24- Ouro Preto (distrito de Rodrigo Silva)
Horário: 09:00- 12:00
 
DEZEMBRO
Módulo VI
Dia 7- Workshop- Ouro Preto (GLTA)
Horário: 15:00 – 18:00
Dia 8- Ouro Preto (GLTA)
Horário: 09:00- 12:00
",OOP,6/6/2019
TURNÊ NACIONAL,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/05/oop_19_SulAmerica_Rio_Ivan_Facebook_Cover1.png,ESPETÁCULO CHEGA AO RIO,"Com patrocínio da SulAmérica, a Orquestra Ouro Preto se une a Ivan Lins e Gilson Peranzzetta para um concerto especial no Rio de Janeiro, no próximo dia 06 de junho, às 20h30, no Theatro Municipal do Rio. Após estreia em BH, a cidade maravilhosa recebe, pela primeira vez, espetáculo que une dois dos mais importantes nomes da MPB à formação mineira. Os ingressos podem ser adquiridos na bilheteria do teatro e pelo ingressorapido.com.br, com preços entre R$10,00 e R$90,00.
A Orquestra Ouro Preto é conhecida em todo o Brasil, e também fora do país, pela sua versatilidade e excelência, marca registrada da formação orquestral mineira. E mais um capítulo dessa vitoriosa história acontecerá no dia 24 de novembro, sábado, às 20h30, no Grande Teatro do Sesc Palladium (R. Rio de Janeiro, 1046, Centro), quando a Orquestra Ouro Preto subirá ao palco acompanhada do cantor IvanLins e do pianista e arranjador Gilson Peranzzetta, dois nomes consagrados da música brasileira.
Os grandes sucessos do cantor carioca, um dos mais conceituados e respeitados nomes da MPB, ganharam novos arranjos assinados por Gilson Peranzzetta e Mateus Freire, sob a regência e direção artística do maestro Rodrigo Toffolo.
A parceria de Ivan Lins e Gilson Peranzetta é de longa data. Os dois trabalharam juntos por mais de 10 anos antes de seguirem em carreira solo. Em um encontro informal – uma festa de aniversário – os dois combinaram de relembrar os velhos tempos e gravar um disco juntos. Marcos Souza, filho de Chico Mário, sugeriu a ideia de incluir a Orquestra, como conta Gilson. “O Marcos Souza teve essa ideia de fazer um disco com essa orquestra maravilhosa que é a Orquestra Ouro Preto. Então o maestro esteve aqui em casa, fizemos uma reunião para preparar o disco e escolher repertório. Para mim, é uma “hemorragia de satisfação”, não é nem prazer. Já tinha tocado com eles, é linda mesmo. Adoro a regência do Rodrigo Tóffollo. Nós estamos em uma felicidade incrível de poder participar dessa ideia”.
Ivan Lins conheceu a Orquestra a menos tempo, mas ficou igualmente encantado e agora, ansioso pela apresentação. “Eu tive a oportunidade de conhecer a Orquestra Ouro Preto durante um encontro do Musimagem em Belo Horizonte. Foi uma experiência muito bonita, tive a oportunidade de ver, junto com o Gilson Peranzzetta, que é um grande amigo meu. Nós programamos para fazer um concerto com a Orquestra que tive essa oportunidade de conhece-la exatamente nesse encontro, que foi surpreendente. Eu estou realmente assim, bastante confiante e bastante excitado para começar esse concerto, porque eu acho que vai ser um concerto lindíssimo”.
",OOP,27/5/2019
DOMINGOS CLÁSSICOS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/05/oop_19_Domingos_Clássicos_Cover_Facebook_Choro-1.jpg,RODA DE CHORO,"Com regência do Maestro Rodrigo Toffolo, a Orquestra Ouro Preto tem novo encontro marcado com seu público, pela série Domingos Clássicos, no dia 09 de junho, às 11h, no Grande Teatro do Sesc Palladium (Av. Augusto de Lima, 420), em Belo Horizonte. Os ingressos podem ser adquiridos na bilheteria do Sesc Palladium ou pelo ingressorapido.com.br, com preços entre R$12,50 (meia) e R$25,00 (inteira).
Dessa vez, a Orquestra propõe uma imersão na cultura brasileira, em uma apresentação em que a música de concerto nacional dialoga com um dos mais genuínos gêneros musicais do país, o choro.
Para essa grande celebração, o grupo reverencia os 100 anos de Cláudio Santoro e os 90 anos de Cyro Pereira, nomes de referência quando o assunto é música erudita no Brasil.
Além deles, a Orquestra Ouro Preto convoca a obra de Radamés Gnatalli, para um encontro inusitado, que vai transformar o palco do Sesc Palladium em uma grande roda de choro, promovendo uma fusão de ritmos, com a participação do grupo Toca de Tatu.
Para Rodrigo Toffolo, maestro e diretor artístico da Orquestra Ouro Preto, o concerto é mais uma das novidades que a Orquestra vem apresentando em 2019. “É nossa excelência e versatilidade, promovendo a união entre dois universos distintos, ao trazer para o palco de um grande teatro, toda a inventividade do choro e dos músicos do Toca de Tatu”, comenta.
A série Domingos Clássicos é uma realização do Sesc em Minas, por meio de parceria entre o Sesc Palladium e a Orquestra Ouro Preto que juntos promovem, uma vez por mês, aos domingos, apresentações especiais a preços populares.
",OOP,20/5/2019
ORQUESTRA EM AIMORÉS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/05/oop_19_Aliança_Facebook_Cover-1.jpg,OOP CONVIDA LÍVIA ITABORAHY,"A Orquestra Ouro Preto faz concerto em Aimorés, no próximo dia 29 de maio, quarta-feira, às 19h, na tenda do Parque Botânico da Aliança.
Com regência do Maestro Rodrigo Toffolo, a apresentação comemora os 10 anos do Parque, cartão postal da cidade, e tem entrada gratuita. Os ingressos serão distribuídos no dia 28 de maio, das 12h às 18h, no local da apresentação e no Museu Histórico de Aimorés (Rua Raul Soares, 360, ao lado da Prefeitura).
No repertório, a Orquestra Ouro Preto apresenta um recorte na biografia sonora dos Beatles, toacndo grandes sucessos do quarteto de Liverpool. A apresentação conta também com a participação da cantora Lívia Itaborahy  (The Voice Brasil) que, ao lado da Orquestra, empresta sua voz a grandes sucessos do cancioneiro brasileiro e lusitano.
O concerto é apresentado e patrocinado pela Aliança Energia, através da Lei Federal de Incentivo à Cultura, do Ministério da Cidadania do Governo Federal.
 
",OOP,20/5/2019
ACADEMIA OOP,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/05/oop_19_Academia_Estreia_Cover_Facebook.png,CONCERTOS DE ESTREIA,"A Academia Orquestra Ouro Preto, formação jovem da Orquestra Ouro Preto, faz concertos de estreia de suas atividades, com apresentações nos dias 10 e 11 de Maio.
Com regência do Maestro Rodrigo Toffolo, o debut do grupo será no dia 10, em Ouro Preto, às 20h, na Igreja de Nossa Senhora do Carmo. Já no dia 11, o concerto acontece em Belo Horizonte, na Fundação de Educação Artística, às 20h. A entrada para ambos os concertos é gratuita.
Formada por talentos do violino, viola, violoncelo e contrabaixo, a Academia Orquestra Ouro Preto foi criada com o objetivo de fomentar a prática da música de concerto, atendendo jovens entre 18 e 28 anos de idade, que tem em comum a paixão pela música, enxergando nela um futuro promissor de transformar realidades sociais por meio da cultura.
Depois de muito ensaio e atividades semanais ininterruptas, que aconteceram durante três meses, os alunos e alunas da Academia preparam-se para a estreia oficial do projeto, que já nasce como referência em Minas Gerais.
A Academia Orquestra Ouro Preto é patrocinada pela SulAmérica, através da Lei Federal de Incentivo à Cultura, do Ministério da Cidadania.
",OOP,2/5/2019
ORQUESTRA & UXÍA,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/05/oop_19_Uxia_Facebook_Cover.png,DE MINAS A COMPOSTELA,"Orquestra Ouro Preto convida Uxía
Com regência do Maestro Rodrigo Toffolo, a Orquestra Ouro Preto apresenta a série Caminhos, com o espetáculo “De Minas a Compostela: Orquestra Ouro Preto convida Uxia”, apresentnado ao público mineiro a grande dama da música e da poesia galega.
O concerto será realizado no dia 19 de maio, domingo, às 19h, no Cine Theatro Brasil Vallourec. Os ingressos podem ser adquiridos na bilheteria do teatro e pelo eventim, com preços variando de R$10,00 a R$40,00.
Em única apresentação, o espetáculo promove o encontro poético entre Minas Gerais e Santiago de Compostela (cidade localizada na região da Galícia, região autônoma da Espanha), num concerto inédito, que celebra a cultura e as tradições musicais brasileiras e galegas, através da música da Orquestra Ouro Preto e da voz de Uxia.
Uxia
Considerada a grande dama da música e da poesia galega, a cantora e compositora Uxia começou a cantar ainda jovem, misturando as próprias composições com músicas populares, e as suas palavras com as letras do cancioneiro galaico-português e da poesia galega contemporânea. Uxía coordena e produz projetos artísticos coletivos, como o “Festival Internacional da Lusofonia Cantos na Maré”, projeto cultural pioneiro no estado espanhol, que, através da língua e da música, traça um mapa comum entre os territórios da lusofonia que partilham raízes culturais e linguísticas. Sua obra encontra lastro em toda a Europa.
",OOP,2/5/2019
DOMINGOS CLÁSSICOS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/04/oop_19_Domingos_Clássicos_Cover_Facebook_Vivaldi.png,VIVA VIVALDI,"A Orquestra Ouro Preto apresenta o concerto Viva Vivaldi neste domingo, 05 de maio, às 11h, no Grande Teatro do Sesc Palladium (R. Rio de Janeiro, 1046, Centro). Com regência do Maestro Rodrigo Toffolo, o concerto terá como convidados especiais a soprano Marília Vargas e o cravista gaúcho Fernando Cordella. Os ingressos estão à venda e podem ser adquiridos por R$ 25,00 (inteira) e R$ 12,50 (meia) em ingressorapido.com.br e na bilheteria do Palladium.
O concerto destaca a obra de Antonio Vivaldi, extraordinário compositor e grande expoente da música barroca. Na apresentação, a homenagem ao compositor italiano será realizada por meio do diálogo entra a música da Orquestra Ouro Preto e a voz de Marília Vargas, uma das mais prestigiadas sopranos brasileiras em atividade. “Neste concerto vamos nos fundamentar no signo da excelência, reverenciando um repertório canônico, de um dos mais importantes compositores da história da música de concerto”, conta Rodrigo Toffolo.
Marília Vargas é uma das mais ativas e respeitadas sopranos de sua geração. A suíço-brasileira divide seu tempo entre concertos, master classes e festivais de música.  Marília também é professora de canto lírico e canto barroco. Ao lado da Orquestra Ouro Preto, canta Árias de ópera, de grande destaque na obra de Antonio Vivaldi.
Aclamado cravista brasileiro da atualidade, Fernando Cordella é natural do Rio Grande do Sul, e diretor artístico da Capela Strumentale e da Orquestra de Concerto Barroco de Porto Alegre.
O concerto “Orquestra Ouro Preto – Viva Vivaldi” é a terceira apresentação de 2019 da Série que já virou tradição em BH. O projeto Domingos Clássicos surgiu como uma proposta do Sesc em Minas, em parceria com a Orquestra Ouro Preto, de democratização do acesso à música.
Além das apresentações com ingressos a preços populares, ao público participa de atividades formativas, aproximando-se, ainda mais, do universo erudito por meio do “Fala, Maestro!”, ação realizada 30 minutos antes de cada concerto. Momento em que o público tem a oportunidade de dialogar com o maestro Rodrigo Toffolo.
",OOP,29/4/2019
DISTRITOS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/04/oop_19_Distritos_Cover_Facebook.png,13ª EDIÇÃO,"Há mais de 10 anos, projeto idealizado pela Orquestra Ouro Preto vem levando a música de concerto a distritos e comunidades do município da Cidade Patrimônio Cultural da Humanidade.
 Sob a batuta do Maestro Rodrigo Toffolo, a Orquestra Ouro Preto retoma as atividades do projeto Orquestra nos Distritos, com apresentações gratuitas nos dias 27 de abril, sábado, em Santo Antônio do Leite (17h, na Igreja de Santo Antônio) e Rodrigo Silva (20h, na Igreja de Santo Antônio); e 28 de abril, domingo, em Cachoeira do Campo (17h30, na Igreja de Nossa Senhora de Nazaré) e na comunidade do Maracujá (20h, na Capela de São Judas Tadeu). Os concertos são realizados pela Orquestra Ouro Preto, através da Lei Federal de Incentivo à Cultura.
Orquestra nos Distritos: contribuindo para o acesso à cultura, levando a música para inspirar a vida das pessoas.
Há mais de 10 anos, a Orquestra Ouro Preto deu início a um capítulo importante de sua história, quando, através da democratização do acesso à cultura, ampliou os horizontes de muitas pessoas, mostrando o universo da música de concerto, que, até então, se apresentava como uma realidade muito distante para a população dos distritos.
Hoje, a Orquestra Ouro Preto realiza a 13ª edição do projeto Orquestra nos Distritos, que em 2019 será realizado em várias etapas. A primeira delas tem início neste final de semana, com concertos gratuitos em três distritos (Santo Antônio do Leite, Rodrigo Silva e Cachoeira do Campo) e uma comunidade (no subdistrito de Maracujá, pertencente à Amarantina).
Para esta edição, a Orquestra Ouro Preto preparou um repertório especial, propondo uma dobradinha entre a música erudita e popular, destacando a obra de W. A. Mozart (1756 – 1791), J. Haydn (1732 – 1809), valsas e polcas de Johann Strauss (1825 – 1899), com destaque para “Danúbio Azul”, e a música de Ivan Lins e Juarez Moreira, este último, numa bonita homenagem a cultura mineira, com o tema “Baião Barroco”.
“O Orquestra nos Distritos é um dos mais importantes compromissos que a Orquestra Ouro Preto tem com as comunidades do município de Ouro Preto. Compromisso este firmado há muitos anos com seus moradores. Assim, é com muito orgulho que podemos afirmar que as características socioculturais desse projeto, sobretudo de formação de público, vêm transformando a relação com a música de concerto dos moradores dos distritos e subdistritos onde estaremos. E acredito que dessa vez não será diferente. Por isso, quero deixar aqui nosso convite para a décima terceira edição do projeto Orquestra nos Distritos”, afirma Rodrigo Toffolo, Maestro, Regente Titular e Diretor Artístico da Orquestra Ouro Preto.
A 13ª edição do Orquestra nos Distritos é patrocinada pela SulAmérica, Rede, Aliança Energia, Cemig e CBMM.
Olá, parabéns pelo excelente trabalho efetuado por vocês, os arranjos são muito lindos, vocês poderiam postar o nome dos arranjistas também, continuem assim.
",OOP,24/4/2019
TURNÊ NACIONAL,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/04/oop_19_SulAmerica_Curitiba_Facebook_Cover.jpg,VALENCIANAS EM CURITIBA,"Com regência do Maestro Rodrigo Toffolo, Alceu Valença e Orquestra Ouro Preto se unem, pela primeira vez no Sul do País, para única apresentação de Valencianas, em Curitiba. Com patrocínio da SulAmérica, através da Lei Federal de Incentivo à Cultura (Lei Rouanet), o concerto será realizado no dia 17 de abril, às 20h30, no Teatro Guaíra. Os ingressos podem ser adquiridos na bilheteria do teatro e pelo www.diskingressos.com.br
Gravado em CD e DVD, Valencianas apresenta um recorte na biografia musical de Alceu Valença, que em 2012, ao completar 40 anos de carreira, teve, pela primeira vez, suas canções adaptadas para a música de concerto pela Orquestra Ouro Preto, regida pelo maestro Rodrigo Toffolo. Em 2015, o espetáculo foi consagrado com o Prêmio da Música Brasileira na categoria Melhor Álbum de Música Popular Brasileira.
Com participação do cantor e compositor como solista nos vocais, Valencianas tem arranjos assinados pelo violinista da Orquestra, Mateus Freire. O espetáculo começou a ser preparado em 2010, quando o maestro e o compositor foram apresentados, em Ouro Preto, por um amigo em comum, depois produtor do espetáculo, Paulo Rogério Lage, que há tempos planejava proporcionar contornos orquestrais ao cancioneiro de Alceu.
Mais que propor o diálogo entre a música erudita e a canção popular, Valencianas procura demonstrar a universalidade artística de Alceu e a diversidade de sua obra. “O desafio é respeitar aquilo que torna a obra de Alceu Valença única. O espetáculo é grandioso e busca evidenciar a maestria do cantor e a nordestinidade inerente à sua obra, capítulo fundamental na história da música de nosso país, que contribuiu, inclusive, para a ideia de música popular brasileira que temos hoje”, afirma Rodrigo Toffolo.
E Alceu Valença celebra o encontro com a Orquestra. “Num mundo dominado pela indústria do entretenimento, onde tudo é dinheiro e há pouco sentimento, a música de concerto é uma forma de transcendência. Este projeto representa uma nova vertente na minha carreira”, celebra o homenageado.
Maravilhosa parceria!!! Parabéns Rodrigo, meu conterrâneo!!!
Prazer ver a sua obra em estilo clássico, Grande Alceu Valença!!!
Um abraço a todos!
Paulo César Pinto Coelho
Ouropretano da “gema” e amante da boa música!
",OOP,9/4/2019
DOMINGOS CLÁSSICOS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/04/oop_19_Domingos_Clássicos_Abril_Cover_Facebook_Pequeno_Principe.jpg,O PEQUENO PRÍNCIPE,"O espetáculo O Pequeno Príncipe, da Orquestra Ouro Preto, volta a cartaz. Sucesso de crítica e público, a apresentação será realizada no domingo, 14 de abril, às 11h, no Grande Teatro do Sesc Palladium (R. Rio de Janeiro, 1046, Centro). O concerto integra a programação 2019 da série Domingos Clássicos. Os ingressos estão à venda e podem ser adquiridos por R$ 25,00 (inteira) e R$ 12,50 (meia) em ingressorapido.com.br e na bilheteria do Palladium. Clientes do Sesc pagam R$ 10,00.
Inspirado na antiga Coleção Disquinho, que embalou a imaginação de crianças por mais de 30 anos, o universo de Saint-Exupéry ganhou, pelas mãos da Orquestra Ouro Preto, no final do ano passado, uma versão em CD, disponível também no spotify e outras plataformas em streaming, e inicia em BH turnê que vai passar ainda por Rio de Janeiro e Fortaleza.
A adaptação feita cuidadosamente pelo Maestro Rodrigo Toffolo, diretor artístico e regente titular da Orquestra Ouro Preto, recebe música original de um dos mais premiados compositores brasileiros, Tim Rescala, e a magia do teatro de bonecos de Eduardo Felix, do Pigmalião Escultura que Mexe.
",OOP,9/4/2019
